,smiles,stat3_25,imr90_viability,is_hit
133,O=C1CCC2C=C(NC(C3C=CC(C#N)=CC=3)=O)C=CC=2N1CCC(C)C,0.103448276,1.076993111,1
134,S1(=O)(=O)CC(C)(C)C(=O)N1C1C=CC(=CC=1)C(NCCC1C2C=CC=CC=2NC=1)=O,1.259852217,1.100624159,0
135,S(C(CC)C(NC1C=C(F)C=CC=1F)=O)C1N2C=CN(C3C=CC=CC=3)C(=O)C2=NN=1,1.027093596,1.061778601,0
136,O=C1N(CC(NC2CCC(OC3N=C(C)C=C(C)N=3)CC2)=O)C2C=CC=CC=2O1,1.185960591,0.932940831,0
137,O=C(C1=CN(CCC)N=C1OCCC)N1CCN(CC2C=CC=CC=2)CC1,0.801724138,0.927761424,0
138,S(=O)(=O)(C1=CC=C2C(CC(N2C(C)=O)C)=C1)N1CCCC1C(=O)NC1SC2C(=CC=C(C)C=2)N=1,1.075123153,1.211981427,0
139,N1(C2C=CC=C(OC)C=2)C(=O)CC(N2CCN(C)CC2)C1=O,1.15270936,1.041708395,0
140,N1(N=C(C)C(CC(=O)N2CCC(C)CC2)=C1O)C1SC=C(C2C=CC(=CC=2)Cl)N=1,1.444581281,0.906720079,0
141,S1C=CC2N3C(N(CC4C=CC=CC=4F)N=C3N(CC3=CC=CS3)C(=O)C1=2)=O,1.016009852,1.017429921,0
142,N(C(C1CCCCC1)=O)C(=S)NC1C=CC=C(C=1)NC(CC)=O,0.993842365,0.95883787,0
143,S(CC(NCC1=CC=CO1)=O)C1N2C3C=CC=CC=3C(=O)N(CCC)C2=NN=1,1.056650246,1.131376893,0
144,S(C1C=C(C)C=CC=1OC)(N1CCC(OC2C(OC)=NC=CN=2)C1)(=O)=O,0.997536946,0.876938484,0
145,C1(SC=C(C2C=CC=CC=2)N=1)NC(=O)CN1CCN(CC1)CC1C=CC=CC=1Cl,1.274630542,0.863018826,0
146,C1(=NC=NC(N2CCSCC2)=C1)N1CCC(CC1)C(=O)NC1=CC=C2C(OCCO2)=C1,1.706896552,0.851688871,0
147,C(=O)(C1C=CC=CC=1F)N1CCCC(C1)C(=O)NC1C=CC=CC=1Br,0.997536946,1.02811245,0
148,N12CCCCC1=NC1=CC=C(NC(=O)NC3=CC=C4OCOC4=C3)C=C1C2=O,0.868226601,1.168280174,0
149,N1(CCCC(C1)C(=O)NC1=CC=C(C=C1)F)C(=O)C1C=CC(F)=C(F)C=1,0.709359606,0.932940831,0
150,C(=O)(N1CCCCC1C)C1C2C=CC=CC=2N=C(C2C=CC(OC)=C(OC)C=2)C=1,1.548029557,1.089294205,0
151,O=C(C1=CN(CC2C=CC=CC=2)N=C1OCC1C=CC=CC=1)NCC1C=CC2OCOC=2C=1,0.613300493,1.249855847,0
152,N1(C(CC)=O)N=C(C2C=CC=CC=2)N=C1SCC1C=CC=CC=1,1.729064039,0.899274681,0
153,C1(C=C(C=CC=1Cl)NCC1=CC=C2OCOC2=C1)C(O)=O,1.156403941,0.880499327,0
154,C(=O)(OCC(=O)C1C=CC(CC)=CC=1)C1=CC=C(Cl)C(Cl)=C1,1.167487685,1.289348831,0
155,C1(C(=O)N2CCC(CC2)CC2C=CC=CC=2)=NN=C(C2=CC=C(C=C2)S(=O)(=O)N2CCCCC2)O1,0.886699507,0.977936937,0
156,C1(C(=O)NCC2C=C(OC)C=CC=2OC)=C(C2C=CSC=2)N2C(C=CC=C2)=N1,0.768472906,1.187702953,0
157,C(=O)(C1CC1)NC1C(CO)CCN(CC2C=CC=C(F)C=2)C1,0.942118227,0.945889351,0
158,FC1C=CC=CC=1NC1NC(=O)C(CC2C=CC(C)=CC=2)=NN=1,1.030788177,1.066310582,0
159,C1(CNC(CSC2=NN=C(C3=CC=C4OCOC4=C3)O2)=O)N(C)C2C(=CC=CC=2)N=1,1.012315271,0.936177961,0
160,FC1C=CC=C(C2C3C(N(CCC4C=CC=CC=4OC)CC=3NC(=O)N2)=O)C=1,1.019704433,1.141735709,0
161,C1(=CC2C=C(C)C=CC=2N=C1N1CCN(CC1)C)C1=NOC(C2C=CC=CC=2)=N1,1.064039409,0.876291058,0
162,C1(C(=O)NC2CC2)=C(C2C=CC(=CC=2)OC)N2C(C=CC=C2)=N1,0.945812808,0.978908076,0
163,O=C1C2C=CC=CC=2N=C(N2CCN(C3C4CCCC=4N=C(C(C)(C)C)N=3)CC2)N1C,1.052955665,1.270249765,0
164,S1C2C(=CC=C(OC)C=2N=C1N(CC1=CC=CO1)C(C1=CC(C)=NN1C)=O)OC,1.108374384,1.154360515,0
165,S(=O)(=O)(N1CCN(CC1)C1CCN(CC1)C)C1SC=C(C2SC=C(C(C)(C)C)N=2)C=1,0.495073892,0.457730165,0
166,S1C=CC=C1C(NC1C=CC2CCN(C(C3CC3)=O)CC=2C=1)=O,1.226600985,1.226872224,0
167,N1=C(CCC2=CC=C(C=C2)OC)ON=C1C1=CC=C2OC(C)=NC2=C1,1.052955665,1.243057874,0
168,S(=O)(=O)(NC1C=CC(OC)=C(OC)C=1)C1C(C)=NN(C2C=CC(C3C=CC(C)=C(C)C=3)=NN=2)C=1C,0.609605911,1.099005594,0
169,N1=C(COC2C=CC(Cl)=CC=2C)ON=C1C1=CC=C2OC(C)=NC2=C1,0.997536946,0.917726321,0
170,O=C(C1C=CC(OC)=CC=1OC)NC1C=CC2CCN(C(C(C)C)=O)CC=2C=1,0.842364532,1.153713089,0
171,S1(C2C=CC=CC=2C(N2CCCN(CC3C=C(C4CC4)ON=3)CC2)=N1)(=O)=O,1.185960591,0.997359716,0
172,S(CC1C=CC=CC=1)(N1CCN(C2C=C(OC)N=C(C)N=2)CC1)(=O)=O,1.00862069,1.013869078,0
173,ClC1C=CC=CC=1CNC(CN1C2C(C)=NN(CC)C=2C(=O)N(CC2C=CC=CC=2)C1=O)=O,0.883004926,0.8374455,0
